"Regulator" "Target" "Weight"
"Gene1" "Gene5" 0.576789299167112
"Gene5" "Gene1" 0.57325262696034
"Gene6" "Gene8" 0.473400408262774
"Gene8" "Gene6" 0.428587176981754
"Gene7" "Gene3" 0.338205592624142
"Gene7" "Gene4" 0.321251825668813
"Gene4" "Gene7" 0.270753454197841
"Gene3" "Gene7" 0.253617060580276
"Gene7" "Gene9" 0.251519725530803
"Gene2" "Gene6" 0.238857182902047
"Gene6" "Gene2" 0.235566283688664
"Gene3" "Gene4" 0.196950378033873
"Gene7" "Gene10" 0.186226042727197
"Gene10" "Gene9" 0.184291542551174
"Gene9" "Gene10" 0.173837485331233
"Gene2" "Gene8" 0.173354653735348
"Gene1" "Gene10" 0.170351652882918
"Gene8" "Gene2" 0.158822107099461
"Gene8" "Gene3" 0.158171636778928
"Gene8" "Gene10" 0.137602237748582
"Gene10" "Gene2" 0.133325891178883
"Gene7" "Gene5" 0.126988348758146
"Gene1" "Gene2" 0.124421216012415
"Gene3" "Gene9" 0.123558068210895
"Gene7" "Gene1" 0.108902388188978
"Gene7" "Gene2" 0.108732195448762
"Gene4" "Gene10" 0.108498592659201
"Gene8" "Gene7" 0.103622739271725
"Gene4" "Gene3" 0.0982099468605108
"Gene8" "Gene4" 0.0951011900298884
"Gene4" "Gene9" 0.0922112220405296
"Gene5" "Gene2" 0.090180926160748
"Gene8" "Gene9" 0.0870368047704434
"Gene10" "Gene4" 0.0868004358672413
"Gene1" "Gene3" 0.0852593298188426
"Gene2" "Gene5" 0.0842556461517733
"Gene9" "Gene3" 0.0841371029234784
"Gene2" "Gene7" 0.0820141561115874
"Gene6" "Gene9" 0.0799013971420343
"Gene3" "Gene8" 0.0747502156641849
"Gene10" "Gene8" 0.0742543702958837
"Gene10" "Gene7" 0.0729463352101245
"Gene4" "Gene1" 0.0719723066159772
"Gene2" "Gene9" 0.0718212678770511
"Gene1" "Gene9" 0.0701809706703165
"Gene1" "Gene4" 0.0679958030816347
"Gene2" "Gene3" 0.0678510477571828
"Gene5" "Gene10" 0.0673531386325719
"Gene9" "Gene7" 0.0671544870857594
"Gene4" "Gene6" 0.0661553725969772
"Gene3" "Gene2" 0.0654525571208785
"Gene6" "Gene4" 0.064677496102905
"Gene10" "Gene3" 0.0632183011638785
"Gene2" "Gene1" 0.0622211726844451
"Gene10" "Gene1" 0.0597908769699872
"Gene6" "Gene10" 0.0596913089314048
"Gene9" "Gene4" 0.0573035676258621
"Gene2" "Gene4" 0.0565536110394806
"Gene1" "Gene7" 0.0549054309169195
"Gene5" "Gene3" 0.0536540366175182
"Gene5" "Gene4" 0.053365692550302
"Gene4" "Gene8" 0.053141993320795
"Gene10" "Gene6" 0.0531260740619238
"Gene3" "Gene6" 0.0524385740403717
"Gene4" "Gene5" 0.0522103169912884
"Gene2" "Gene10" 0.0516642659978639
"Gene5" "Gene7" 0.0515293724001661
"Gene6" "Gene3" 0.0512930054555182
"Gene8" "Gene5" 0.0510434752125445
"Gene9" "Gene2" 0.0503172187394523
"Gene1" "Gene6" 0.0458140361075585
"Gene7" "Gene6" 0.0454385620505032
"Gene3" "Gene10" 0.0447752750890298
"Gene7" "Gene8" 0.0439763786366941
"Gene6" "Gene7" 0.0434569642256014
"Gene1" "Gene8" 0.0399569334526564
"Gene5" "Gene9" 0.039479001206753
"Gene9" "Gene6" 0.0392310523721849
"Gene3" "Gene1" 0.0390421084927102
"Gene9" "Gene1" 0.0385772829789474
"Gene5" "Gene8" 0.0382462424907754
"Gene10" "Gene5" 0.0382135470075428
"Gene4" "Gene2" 0.0331816045507365
"Gene5" "Gene6" 0.0303519688866795
"Gene9" "Gene8" 0.0289188041408884
"Gene9" "Gene5" 0.0258036604694873
"Gene6" "Gene1" 0.0239645245112875
"Gene6" "Gene5" 0.0239569112094388
"Gene8" "Gene1" 0.0222767125973278
"Gene3" "Gene5" 0.0207387950326665
